,Leopoldau,Großfeldsiedlung,Aderklaaer Straße,Rennbahnweg,Kagraner Platz,Kagran,Alte Donau,Kaisermühlen-VIC,Donauinsel,Vorgartenstraße,Praterstern,Nestroyplatz,Schwedenplatz,Stephansplatz,Karlsplatz,Taubstummengasse,Südtiroler Pl. - Hbf.,Keplerplatz,Reumannplatz,Troststraße,Altes Landgut,Alaudagasse,Neulaa,Oberlaa,Museumsquartier,Volkstheater,Rathaus,Schottentor,Schottenring,Taborstraße,Messe-Prater,Krieau,Stadion,Donaumarina,Donaustadtbrücke,Stadlau,Hardeggasse,Donauspital,Aspernstraße,Hausfeldstraße,Aspern Nord,Seestadt,Simmering,Enkplatz,Zippererstraße,Gasometer,Erdberg,Schlachthausgasse,Kardinal-Nagl-Platz,Rochusgasse,Landstraße,Stubentor,Herrengasse,Neubaugasse,Zieglergasse,Westbahnhof,Schweglerstraße,Johnstraße,Hütteldorfer Straße,Kendlerstraße,Ottakring,Hütteldorf,Ober St. Veit,Unter St. Veit,Braunschweiggasse,Hietzing,Schönbrunn,Meidling Hauptstraße,Längenfeldgasse,Margaretengürtel,Pilgramgasse,Kettenbrückengasse,Stadtpark,Roßauer Lände,Friedensbrücke,Spittelau,Heiligenstadt,Floridsdorf,Neue Donau,Handelskai,Dresdner Straße,Jägerstraße,Nußdorfer Straße,Währinger Str.-Volksoper,Michelbeuern-AKH,Alser Straße,Josefstädter Straße,Thaliastraße,Burggasse-Stadthalle,Gumpendorfer Straße,Niederhofstraße,Meidling,Tscherttegasse,Am Schöpfwerk,Alterlaa,Erlaaer Straße,Perfektastraße,Siebenhirten
Leopoldau,0.0,336.51694209231795,217.70538876828925,141.25510631195982,55.77024945999501,22.09908761118018,14.496404121653226,5.7942740935828905,3.8385682190878394,1.5517723912956018,1.0416262702640837,0.6616474420477005,0.4316086328915454,0.260180292313399,0.09412934080221307,0.03090478162633133,0.016883843832374876,0.005637875738444898,0.0031242826172944976,0.0017411377345095563,0.0009750953202203603,0.0003326495815411417,0.00011391667410198452,6.453831007807019e-05,0.03162745189819877,0.052651816528130786,0.05193055876747147,0.14193964572275458,0.25132800426131596,0.3863641417194662,0.3479677052752956,0.1928464595694093,0.10745378810711143,0.03648634061622153,0.020511291284558888,0.007019676301161701,0.00397402550115016,0.0013686680958726318,0.0007792797181339026,0.00026978499053881185,9.361128506265798e-05,3.2549594103881463e-05,0.0004938358421215455,0.0008738640503348878,0.0015521326514871376,0.002768492426001174,0.00818057054439057,0.014742130026999627,0.026736229686035475,0.04885220090238939,0.14848441324887587,0.14116189423934225,0.0871713839507245,0.018447162705742922,0.010707227775822595,0.006287336914197128,0.00208782445155792,0.0006985243400632727,0.0003877848712993419,0.000216466870681292,0.00012141589089239732,8.80080003472991e-06,2.5625510897624255e-05,4.541381615609278e-05,0.00013321296369621578,0.00023805303579116924,0.000704906795962328,0.0012733725316337076,0.0023158200051636314,0.006543962910694971,0.01861956609551622,0.03229376057582937,0.08916103037470681,0.08389514401700601,0.046571631327093584,0.026217967537047332,0.008693432623740852,0.0005193217606753128,0.0015208648704338108,0.002712977756604463,0.004863001821786596,0.014451870472063885,0.00925460606444185,0.005406182214947164,0.0019239483223326805,0.0011470560179746524,0.0006950282222451384,0.0011999600691181371,0.002132647801365378,0.0036437769166572822,0.0012762117123062465,0.0004292908972793939,0.00014519838498472257,8.135738482568849e-05,2.7766115824012146e-05,9.511709835590664e-06,5.390178231157962e-06,3.063772273105423e-06
Großfeldsiedlung,170.46740871954836,0.0,318.89882465627215,206.9130563760401,81.69327872039364,32.37114664479936,21.23459718793566,8.487558386285647,5.622804747074479,2.2730645048245175,1.5257931611047784,0.9691932422968783,0.6322281984811519,0.3811168381586418,0.1378823754309741,0.045269887863847676,0.02473176242575701,0.00825846322279953,0.0045765061682035936,0.0025504503137988408,0.0014283374118821898,0.00048727117493989466,0.00016686722219145158,9.453689385293006e-05,0.04632846846038882,0.07712534127811307,0.07606882975375538,0.2079157821917327,0.36814984514436855,0.5659532425024378,0.5097094420053012,0.2824850117112294,0.15740026889593112,0.05344585728608414,0.030045313622393106,0.010282549892646582,0.005821225044730884,0.0020048499928629034,0.0011415031460515256,0.000395185975319607,0.00013712351793376083,4.767923918417251e-05,0.0007233797496547786,0.00128005200118297,0.002273592220524625,0.004055338205988238,0.011983048956130685,0.021594540976400938,0.03916371694267753,0.07155959500031112,0.21750267704783566,0.206776517631778,0.12769023331404014,0.02702174042814192,0.01568414255777105,0.009209805799935751,0.003058283340882681,0.001023211195185733,0.0005680343531067279,0.00031708462077049087,0.00017785221174010512,1.289157242725564e-05,3.7536715800666435e-05,6.652298630397297e-05,0.00019513277917487028,0.0003487044291791046,0.001032560333009765,0.001865259312068622,0.0033922553866968636,0.009585716240749454,0.027274280058311468,0.04730448956559364,0.13060470368925364,0.12289113729686817,0.06821897508629168,0.03840455709316155,0.01273429868513785,0.0007607119880438434,0.0022277906044786007,0.003974019305606608,0.007123413775116183,0.02116936348567388,0.013556315777504518,0.007919074323232427,0.0028182345975106466,0.0016802285787071052,0.0010180900180326515,0.0017577233978508292,0.0031239414013084113,0.0053374708940641434,0.001869418195707571,0.0006288331370783962,0.00021268924290569278,0.00011917378134187547,4.067231294385462e-05,1.3932926071342108e-05,7.895631395847537e-06,4.487869512259443e-06
Aderklaaer Straße,93.78560429342211,271.19738337468294,0.0,309.4405322053812,122.17311023089405,48.4113715263117,31.756551133534874,12.6932279198627,8.408960381212312,3.399390557702423,2.2818388364508557,1.449438126133317,0.945503554196743,0.5699640191767933,0.20620446279408128,0.06770156721288988,0.036986596503097685,0.012350613826018441,0.006844210457925054,0.003814223791808448,0.002136092794929408,0.0007287188848426988,0.0002495515891888183,0.00014138086430722592,0.06928468501566722,0.11534171438774679,0.11376169090298313,0.3109401186282896,0.5505717522521392,0.8463886988602567,0.762275536240604,0.42245914247723737,0.2353936664485279,0.07992881074030576,0.04493306512612852,0.01537765555705836,0.008705699908347622,0.0029982730894273805,0.0017071292996917117,0.0005910045536264296,0.00020506958386513167,7.13047760576527e-05,0.0010818216048820127,0.0019143304895016219,0.0034001797617766102,0.006064798590830385,0.017920768806823334,0.032294850646467956,0.058569727914407045,0.10701808551440423,0.32527741516446435,0.30923633715635374,0.1909620129641143,0.04041128136449562,0.02345579107120927,0.013773356104996057,0.004573693130885351,0.0015302225115333098,0.0008495010204519857,0.0004742032016918388,0.00026597975023259627,1.927947468720556e-05,5.6136531536660375e-05,9.948578715294809e-05,0.0002918230105733387,0.0005214909394187976,0.001544204240065086,0.0027895138389845663,0.005073151644564856,0.014335533905199977,0.0407889568912666,0.07074433427863774,0.1953206323755634,0.183784917174859,0.10202215523240503,0.057434396814583885,0.019044270242811225,0.0011376523384174345,0.0033316829897827214,0.005943185367125853,0.010653136096376099,0.03165899348348051,0.020273604974021142,0.011843054353716314,0.0042146978494601,0.0025127985383237724,0.0015225637402043143,0.0026286928105315774,0.004671885412791365,0.007982240768259196,0.002795733490799471,0.000940426206127275,0.00031807887656681627,0.00017822557439941202,6.0825848227272954e-05,2.0836829411377742e-05,1.1807995222825855e-05,6.711653458049625e-06
Rennbahnweg,61.48634353955238,177.79845432390078,312.66891621533495,0.0,217.72715521356434,86.27487818301785,56.59398802757353,22.620856588213837,14.985777301116416,6.05812223483233,4.06651085150686,2.5830728158157754,1.685000886942424,1.0157443338793888,0.36748111750324913,0.12065232361609299,0.06591455699566089,0.02201027712561519,0.012197205014022204,0.006797404878772976,0.0038067739016646967,0.001298664570684563,0.00044473090265460027,0.00025195767979608376,0.12347362967038955,0.20555278738208954,0.20273699577411572,0.5541326347733948,0.9811849852414808,1.5083663112077696,1.358466553572215,0.7528729285167323,0.4194997839890351,0.14244274005303606,0.08007611843922677,0.027404829032876093,0.015514602776382516,0.005343282732842573,0.0030423094353671577,0.0010532410932009332,0.00036545862695483764,0.00012707367451669552,0.0019279360248289027,0.0034115668401178277,0.006059528691274595,0.010808199460823946,0.031936962267520005,0.05755330240847346,0.1043782892678758,0.19071908107616556,0.5796834190857126,0.5510962915691571,0.3403172413140271,0.07201775671748134,0.04180103668938695,0.024545774735673806,0.008150870451979986,0.00272704029266543,0.001513912842068744,0.0008450870564103884,0.0004740078586287276,3.435833932461943e-05,0.00010004204109999731,0.00017729562077986762,0.0005200636522874087,0.0009293594842164571,0.0027519574120907996,0.004971248676923643,0.00904096550747228,0.025547643092231922,0.07269081986437369,0.12607489995838933,0.3480848245679849,0.32752679466061396,0.18181573331093917,0.10235499289666272,0.033939176757056204,0.0020274330971648746,0.005937459217236023,0.010591470090641774,0.018985167947213107,0.05642012857866932,0.03612999888907625,0.02110574518894608,0.007511097745759335,0.004478108778110576,0.0027133914423517896,0.004684646289889261,0.008325860891062041,0.014225311702536434,0.004982332843427376,0.0016759524429017908,0.000566854758772499,0.0003176193781671843,0.00010839896662160348,3.713373247873977e-05,2.1043265607157472e-05,1.1960972520374648e-05
Kagraner Platz,24.50745662214746,70.86757247200565,124.62474527066283,219.80306435850974,0.0,254.09311296132728,166.67821381697178,66.62198764463034,44.13547587408108,17.842124727007466,11.97651532997218,7.607556528611873,4.962593164113832,2.991527142127525,1.0822898051832597,0.3553401075640693,0.19412875832713758,0.06482373490142934,0.03592269101633408,0.02001942862257106,0.011211549078771305,0.0038247718270644757,0.0013098025968334738,0.0007420550749210092,0.36364929852498973,0.6053853534628776,0.597092403415441,1.632007939371963,2.8897444139190442,4.442376501392934,4.000898091316618,2.2173294254361795,1.2354929760000473,0.4195163180878459,0.2358367886063047,0.08071154043665867,0.045692950240356855,0.015736809736669348,0.008960080747772305,0.00310196100772814,0.0010763332517785649,0.00037425199795573,0.0056780754311802515,0.010047601998837795,0.01784626696288407,0.031831850758246204,0.094059387065932,0.16950354585435057,0.30741051166007854,0.5616977506356596,1.70725902591361,1.6230654301151306,1.002287908844748,0.2121036433574281,0.12311064079262496,0.0722911749513489,0.024005598038569727,0.008031563436860598,0.004458711908898367,0.00248891456480674,0.0013960278461547996,0.00010119072410226332,0.0002946395774234425,0.000522163544558154,0.001531669416761414,0.002737110145826611,0.008104948280446125,0.014641110810319817,0.02662706825382458,0.07524183515344478,0.21408592039815175,0.37131044947706116,1.0251646656800064,0.9646180277069589,0.5354759883209729,0.30145158498023666,0.09995622428178179,0.005971109989707879,0.017486753123986325,0.031193548607034646,0.05591431162113812,0.16616617034011985,0.10640854072885524,0.06215974579589117,0.02212136659211726,0.013188736090658832,0.007991365421661095,0.01379702161265987,0.024520972459736758,0.041895784838722167,0.014673755427511165,0.00493594407040125,0.0016694765995253276,0.0009354391247489085,0.0003192520401158424,0.00010936469433640278,6.197573358089261e-05,3.522694909287182e-05
Kagran,7.485920239491161,21.646840113648164,38.06722653218911,67.13990086986703,195.87007528585391,0.0,376.1965032455097,150.3673348617531,99.61476855720431,40.270079568653244,27.031266324639528,17.170427368804226,11.200685156248046,6.751944507085995,2.4427526002606372,0.802010669944404,0.4381530038608174,0.14630863769640726,0.08107832714330251,0.04518430376902351,0.025304720171951563,0.008632596630976644,0.002956254123359631,0.001674835108968773,0.8207647021164188,1.366368452561325,1.3476510764988414,3.6834788782583363,6.522218584507627,10.026544367455145,9.030117598018611,5.004562727726624,2.78853562629359,0.9468578304563563,0.5322889727374099,0.1821677745909336,0.10313002347306785,0.03551833595766604,0.020223105161246518,0.007001196242675483,0.0024293085243317814,0.000844695234844515,0.012815544836110714,0.02267766525333674,0.040279428688833455,0.07184520803801539,0.21229416671380558,0.3825733416374578,0.693832486556554,1.2677645436136007,3.853322284748634,3.6632954323500715,2.262186508470102,0.47872272644052266,0.27786350428110757,0.16316281899966986,0.0541811784132981,0.018127420562949362,0.01006341375213299,0.005617536537710219,0.0031508664637688857,0.00022838975590387802,0.0006650081987688505,0.0011785349451894388,0.0034570125604205487,0.006177719584807137,0.018293051816824026,0.033045318667264886,0.06009789605597729,0.16982252589761557,0.4831967706128639,0.8380560933126917,2.3138198667233425,2.1771647336551183,1.2085814322409758,0.680383054091946,0.22560346185208113,0.01347693047088382,0.03946799781274897,0.07040454562748849,0.12619986758647453,0.3750408095223162,0.2401664861948304,0.14029595395545902,0.049928425367606,0.029767276033939014,0.01803669273230397,0.031140190232569327,0.055344390153244626,0.09455973516947223,0.03311899830754865,0.011140537548232852,0.0037680464927545435,0.002111307288881847,0.0007205590844491397,0.0002468385918332863,0.00013988063421899402,7.950802186600205e-05
Alte Donau,4.454935954658765,12.882221990331518,22.654136131153418,39.955536368061395,116.56397782992968,341.2911918373823,0.0,243.24518574095885,161.14412683125266,65.14382258278489,43.72775113687752,27.776137672562935,18.11904655863228,10.922438688221566,3.9515750579466054,1.2973910494338257,0.7087883076804636,0.23667954070403283,0.13115822504715574,0.0730934306508589,0.040934763949952616,0.013964718952153189,0.004782252634824047,0.0027093356249290805,1.327728941924025,2.2103374269380933,2.180058832048531,5.958664524702885,10.55081725356314,16.219670643520484,14.607777908760687,8.095746269476372,4.510938941537326,1.5317063978781786,0.861069527902557,0.2946879001821004,0.16683065998502702,0.05745705498588182,0.03271437227858705,0.01132564650443686,0.003929826938586529,0.0013664407198755173,0.020731361548020938,0.036685047997896465,0.06515894640257487,0.11622205707025546,0.34342255292014595,0.618878585775965,1.122394117184612,2.050828540458025,6.233415626706477,5.9260143081291705,3.6594781568710544,0.7744168546879139,0.44949230344231766,0.2639440956380758,0.08764743232912726,0.029324239775168452,0.016279313253615042,0.00908733748442267,0.005097071773793656,0.0003694599538340408,0.0010757658435424872,0.001906484223507594,0.005592316064798543,0.009993530504770505,0.02959217699138826,0.05345652155422066,0.09721874702519147,0.2747173240314667,0.7816543953859317,1.355700759520739,3.7430040491819483,3.5219407227873103,1.955089615964899,1.1006373327009877,0.36495264102716435,0.02180126726740272,0.0638463165395093,0.11389153630947438,0.2041501251570331,0.6066934115482517,0.38851085308471656,0.22695298423674384,0.08076786832368099,0.048153720317880136,0.029177471808325764,0.05037464662184944,0.08952912861641926,0.15296673553509027,0.05357571112290342,0.018021747393910235,0.006095467275876951,0.0034154049090015064,0.0011656290144086863,0.00039930413858652877,0.0002262811326904542,0.00012861798451420928
Kaisermühlen-VIC,1.3449155121043663,3.8890570732112635,6.839132909250988,12.062310480504319,35.18988904253955,103.03353913913703,183.72110276983213,0.0,359.46530817078434,145.31677151762094,97.54379416193865,61.96042067805317,40.418281342515336,24.364758841937512,8.814805565034566,2.894099106020283,1.5810989358303629,0.5279626736008018,0.292575551543869,0.16305001672003291,0.09131345850151233,0.031151194277845577,0.010667803729066313,0.006043733547751823,2.9617740507277723,4.930614847463529,4.863072178320193,13.292033794701297,23.53578036062899,36.181330470748215,32.585670299742176,18.05923668988104,10.062582413924028,3.4167879597437354,1.9207936974835778,0.6573623186657506,0.37215029665122357,0.12816984635570386,0.07297617445934343,0.025264197281071425,0.008766291886120957,0.0030481286791266358,0.04624559029360787,0.08183358800059198,0.14535050832608196,0.2592573392684106,0.7660750425456765,1.3805367029554751,2.5037322498594077,4.574797281151728,13.904922961027584,13.219200732812526,8.163223005833963,1.7274969854442852,1.0026855620154804,0.5887819031577569,0.19551572801384476,0.06541378264870491,0.036314375649864165,0.020271186009221575,0.011370072940070676,0.0008241568512192288,0.0023997182402654364,0.0042528074240244925,0.01247481777431658,0.022292636990569856,0.06601147203331237,0.11924582901087376,0.21686652530615422,0.6128138175723593,1.7436418170839514,3.024170975953779,8.349544786280957,7.8564173089704035,4.361231806110247,2.4551992415953143,0.8141023576487454,0.048632236314743955,0.1424224158940497,0.254058630634432,0.45539908339026514,1.3533551512910673,0.8666538227486098,0.5062655774254264,0.1801694374357958,0.10741683394867284,0.06508638633915184,0.11237106947670389,0.1997132408186618,0.3412239453602968,0.1195117059986349,0.040201235428901624,0.013597200629362873,0.007618767138984116,0.002600176631420139,0.0008907304786924351,0.0005047668735763877,0.00028690901957674535
Donauinsel,0.7564140964997086,2.1873028943401893,3.846499273622077,6.784144878761424,19.791673072748345,57.94863745392639,103.32933980524163,305.17669558178926,0.0,222.16458695629174,149.12784335777005,94.72692741393983,61.79266636717336,37.2495654003181,13.476335986575783,4.424584483846753,2.4172309111146952,0.8071649822927602,0.44729817407463585,0.24927569777057768,0.13960272155563985,0.04762486901997796,0.016309254495868165,0.009239838962066073,4.5280479449545865,7.538070104278819,7.434808869973629,20.32125519283785,35.98219853018894,55.3150903066145,49.817938474901254,27.609496261529767,15.383974212721876,5.223686694014196,2.936566330046374,1.0049949946025174,0.5689544027005513,0.19594985959630618,0.11156813826162097,0.0386246535421474,0.013402166836483808,0.004660069460087622,0.07070162899182947,0.12510961458497802,0.22221616478890313,0.39636030371738185,1.1711982287195684,2.110605425561034,3.8277800650953306,6.994085663763853,21.258258314121438,20.209905849315447,12.480177259534615,2.6410485880697596,1.5329354031595364,0.9001472229000146,0.2989102393620644,0.10000652953975075,0.05551849371942181,0.03099118993506387,0.01738290447835478,0.0012599954191530856,0.003668760364631435,0.006501818027580419,0.019071871121565522,0.0340816441037981,0.10092029478427639,0.1823065574041393,0.33155197102246164,0.9368879258755253,2.6657312851545236,4.623442213457843,12.765031519381338,12.011123617565529,6.667580436217138,3.7535813637194804,1.2446238114039396,0.07435040416044297,0.21773961030081082,0.38841236388695494,0.6962276150582104,2.069049463814237,1.32496604868275,0.7739938186368935,0.27544837551815116,0.1642220391846906,0.09950599635887113,0.17179622128545202,0.3053275213370692,0.5216732803025026,0.18271303802265465,0.06146084014198989,0.02078780329370263,0.011647796994604505,0.003975227093885786,0.0013617751538341127,0.000771702555776356,0.00043863501206791605
Vorgartenstraße,0.18764437874540119,0.542606350986534,0.9542048064458959,1.6829494016370086,4.9097395398280765,14.375374711421307,25.63300956929548,75.70547893674976,136.33018409678812,0.0,273.3528751094497,173.6354350459092,113.26659483449001,68.27883760329256,24.70226287007788,8.11030899791493,4.430809193501349,1.4795417383463285,0.8199021669023429,0.4569249252604531,0.2558932285957302,0.08729687615806074,0.0298950317188034,0.01693672012522587,8.299958589337972,13.817360255373417,13.628081347765562,37.24907037962359,65.95574105761841,101.39313110011587,91.31679509016647,50.60849143581163,28.198983415648314,9.575071591789087,5.38275637328163,1.8421661915014227,1.0428992888421058,0.35917811383780357,0.20450554824464756,0.07079938835112422,0.024566310052913973,0.008541955388361895,0.12959681522029626,0.22932721402395975,0.40732452218941717,0.7265325251198698,2.1468184340031087,3.8687615156787674,7.016360342382216,12.82023116477946,38.96660676600394,37.04496588439279,22.87629364816138,4.841069304010733,2.809886406024322,1.6499791444793612,0.5479055519716053,0.1833130002009422,0.1017659716538719,0.05680717082113797,0.03186304321126381,0.0023095845999994242,0.006724875591163995,0.011917899509977433,0.0349589364897443,0.062472005190067854,0.18498794131952948,0.33416980019064224,0.6077381828004064,1.717325232009131,4.886312942365974,8.474817267484138,23.398434444695734,22.016513484203635,12.22174371482661,6.880353357410155,2.281408284439069,0.1362850577410146,0.39911895163765604,0.7119638694287128,1.2761923999006246,3.792589009152451,2.4286764340910443,1.4187386532088082,0.5048997135395833,0.3010206917548971,0.18239551771745402,0.3149042456723138,0.5596684960252329,0.956232503787744,0.3349148833571765,0.11265835394098357,0.03810425786089282,0.021350532036648367,0.007286632267052392,0.0024961479035147107,0.0014145387447513594,0.0008040225015846158
